,Item1,Item2,support,conf,lift
320,kadugu small 100gm,jeeragam 50gm,0.033505924524544456,1.0413926499032882,27.200796834795113
321,kadugu small 100gm,jeeragam 100gm,0.0393682166683262,1.223597678916828,27.731659214356448
324,kadugu small 100gm,pepper black 50gm,0.03288360051777357,1.0220502901353965,28.62168299429707
325,kadugu small 100gm,pepper black 100gm,0.030892163696106742,0.9601547388781432,27.869462550731768
326,kadugu small 100gm,vendiyam 100gm,0.039866075873742905,1.2390715667311412,26.364397764154347
328,kadugu small 100gm,sugar 1kg,0.09473016031066414,2.944294003868472,25.743427733900152
329,kadugu small 100gm,gold winner refined sunflower oil 1l,0.03370506820671114,1.0475822050290133,26.082102473148762
330,kadugu big 100gm,britannia milk bikis biscuits rs.10,0.03069302001394006,1.0185873605947957,32.617530051665305
331,kadugu big 100gm,tata salt 1kg,0.04628845962361844,1.5361420900454357,32.03213082860381
333,kadugu big 100gm,pacha pairu yellow 500gm,0.03289604699790899,1.0916976456009913,31.516836377350362
334,kadugu big 100gm,kadala parupu 500gm,0.039903415314149156,1.3242461792647666,32.20194764735121
335,kadugu big 100gm,pottukadalai 250gm,0.04330130439111819,1.4370095002065264,30.35895116607761
336,kadugu big 100gm,pottukadalai 500gm,0.03226127651100269,1.0706319702602232,30.524788863941577
337,kadugu big 100gm,toor dhal 500gm,0.039928308274419996,1.325072284180091,28.73457695011207
338,kadugu big 100gm,toor dhal 1kg,0.05583490988748382,1.8529533250722843,27.666545614125184
340,kadugu big 100gm,ulundu full white 1kg,0.0478069302001394,1.586534489880215,27.283503222374996
341,kadugu big 100gm,ulundu white broken 100gm,0.03282136811709648,1.0892193308550184,29.376380637198924
342,kadugu big 100gm,jeeragam 50gm,0.033505924524544456,1.1119372160264354,29.043395216003873
343,kadugu big 100gm,jeeragam 100gm,0.0393682166683262,1.3064849235852953,29.610218533296752
346,kadugu big 100gm,pepper black 50gm,0.03288360051777357,1.0912845931433293,30.56053306082525
347,kadugu big 100gm,pepper black 100gm,0.030892163696106742,1.0251961999173895,29.75735675078134
348,kadugu big 100gm,vendiyam 100gm,0.039866075873742905,1.3230070218917802,28.150337967921928
350,kadugu big 100gm,sugar 1kg,0.09473016031066414,3.1437422552664187,27.48730305333825
351,kadugu big 100gm,gold winner refined sunflower oil 1l,0.03370506820671114,1.1185460553490292,27.84891982366359
352,pepper black 50gm,britannia milk bikis biscuits rs.10,0.03069302001394006,0.85953293830603,27.52423849950565
353,pepper black 50gm,tata salt 1kg,0.04628845962361844,1.296270477518299,27.030250517967872
355,pepper black 50gm,pacha pairu yellow 500gm,0.03289604699790899,0.9212269083304286,26.595420310061073
356,pepper black 50gm,kadala parupu 500gm,0.039903415314149156,1.1174625304984314,27.173550106042967
357,pepper black 50gm,pottukadalai 250gm,0.04330130439111819,1.2126176368072499,25.61834115478351
358,pepper black 50gm,pottukadalai 500gm,0.03226127651100269,0.9034506796793308,25.75828296953732
359,pepper black 50gm,toor dhal 500gm,0.039928308274419996,1.118159637504357,24.247616171565465
360,pepper black 50gm,toor dhal 1kg,0.05583490988748382,1.5636110142906936,23.346360031996184
362,pepper black 50gm,ulundu full white 1kg,0.0478069302001394,1.338794004879749,23.02313046405363
363,pepper black 50gm,ulundu white broken 100gm,0.03282136811709648,0.9191355873126523,24.78920094899219
364,pepper black 50gm,jeeragam 50gm,0.033505924524544456,0.9383060299756011,24.508211857074023
365,pepper black 50gm,jeeragam 100gm,0.0393682166683262,1.1024747298710351,24.98652459711099
369,pepper black 50gm,pepper black 100gm,0.030892163696106742,0.8651097943534333,25.11068689217205
370,pepper black 50gm,vendiyam 100gm,0.039866075873742905,1.1164168699895434,23.754607257002085
372,pepper black 50gm,sugar 1kg,0.09473016031066414,2.6528407110491456,23.195106550063397
373,pepper black 50gm,gold winner refined sunflower oil 1l,0.03370506820671114,0.9438828860230044,23.500256149560666
374,pepper black 100gm,britannia milk bikis biscuits rs.10,0.03069302001394006,0.8908959537572255,28.52855500544859
375,pepper black 100gm,tata salt 1kg,0.04628845962361844,1.3435693641618496,28.016542173428405
377,pepper black 100gm,pacha pairu yellow 500gm,0.03289604699790899,0.9548410404624277,27.565845689871825
378,pepper black 100gm,kadala parupu 500gm,0.039903415314149156,1.158236994219653,28.165070539825606
379,pepper black 100gm,pottukadalai 250gm,0.04330130439111819,1.256864161849711,26.55311444113941
